idx1,idx2,distance,ECFP4sim
3,0,4.907988830478983,0.5
3,1,1.480177005428154,0.47058823529411764
3,2,6.088143653156929,0.5333333333333333
3,3,0.0,1.0
3,4,3.938739426028836,0.4
3,5,5.450689062294846,0.4
3,6,1.4014656056942532,0.6666666666666666
3,7,0.061994477812856004,0.6
3,8,6.921820549369752,0.4
3,9,6.225600618517087,0.42105263157894735
3,10,6.199134124556006,0.42105263157894735
3,11,5.750938746165648,0.4444444444444444
3,12,5.385318088038253,0.4444444444444444
3,13,1.851791211460121,0.5
3,14,1.8023565518512052,0.5
